Date,Decentraland,Sandbox
2022-03-06,14592.720000000001,8504.977305263157
2022-03-07,11831.433306666668,7737.870614848022
2022-03-08,12332.02799090909,8538.249047276262
2022-03-09,12296.655144823751,8524.526422155768
2022-03-10,11905.187812027776,8468.203818076283
2022-03-11,11016.235999999999,7814.539504545458
2022-03-12,12572.836717142856,8225.577451866668
2022-03-13,9139.64054375,8359.370855927853
2022-03-14,13047.8857425,8385.896300658716
2022-03-15,9760.472898955999,7836.688559358935
2022-03-16,13781.258777777777,9078.201734935265
2022-03-17,10662.741773636364,8755.916221076268
2022-03-18,10957.16325,9794.098536480004
2022-03-19,11136.467954285716,9302.999106736339
2022-03-20,15592.54779714286,9037.725764888888
2022-03-21,10763.8926255,8306.258810594894
2022-03-22,11688.97392,9097.4525448
2022-03-23,11152.2453788,9503.873016923077
2022-03-24,10484.317059615385,9114.39473063973
2022-03-25,10822.681171428572,10172.340934302054
2022-03-26,9961.5469198,8920.204521925925
2022-03-27,11176.314475740002,8959.786336388888
2022-03-28,10842.458907999999,8411.137031956792
2022-03-29,13441.358283333335,8649.493605704401
2022-03-30,12052.878399999998,8560.826959066218
2022-03-31,11276.307345416668,9954.708733363757
2022-04-01,11975.83065,9169.668745714289
2022-04-02,10779.012200000001,8164.407782389937
2022-04-03,12107.058791666668,7772.3441711228925
2022-04-04,10180.522804285716,7348.949408678239
2022-04-05,10369.386625,7064.86356011429
2022-04-06,10419.353983291712,7150.039216430424
